role;repo + file;workload;workload_evidence;thread_model;thread_model_evidence;primitives;tradeoff_notes
Logging system;alacritty/alacritty:alacritty/src/logging.rs;I/O-bound;"""all threads write to the same logfile"", ""Multiple threads can log concurrently -> writes should be serialised while notifying UI"", ""stdout: Mutex<LineWriter<Stdout>> -> same thing as before, needs to be serialised"", ""Formatting happends before locks -> only actaul writei sserialised, so it doesn't hold lock for longer than it needs""";Shared-state concurrency model;"""Logger: logfile: Mutex<OnDemandLogFile>, stdout: Mutex<LineWriter<Stdout>>, event_proxy: Mutex<EventLoopProxy<Event>>"", ""Any thread can call log() concurrently"", ""logging is serialised with mutexes to maintain consistency of output"", ""all threads write to the same logfile, this ensures only one thread at a time does that, in log(): acquire lock-write-release lock""";Mutex, Arc<AtomicBool>, OnceLock;Formatting happens before locks so only actual writes are serialised, reducing lock hold time while still protecting shared I/O state
Rendering coordination;alacritty/alacritty:alacritty/src/renderer/mod.rs;Coordination-heavy;"""Prevent duplicate loading and avoid repeatedly querying OpenGL data"", ""Lock-free atomic coordination, single initialisation"", ""Multiple renderer initialisation threads"", ""OpenGL initialisation and cache extension capabilities across renderer threads"", ""Not much shared memory here, but it is mostly not necessary, because only one thread mutates a renderer at a time""";Initialisation / singleton coordination model;"""GL_FUNS_LOADED: AtomicBool = AtomicBool::new(false"", ""only one thread will see that it is false and initialise"", ""static OPENGL_EXTENSIONS: OnceLock<HashSet<&'static str, RandomState>>"", ""initialise-once (get_or_init)""";AtomicBool, OnceLock<T>;Shared mutable state is minimised through one-time initialisation and immutable shared caches, avoiding runtime locking costs
I/O coordination;alacritty/alacritty:alacritty_terminal/src/event_loop.rs;Mixed;"""The main event loop which performs I/O on the pseudoterminal and rendering coordination"", ""The PTY thread polls the PTY for readable/writable events, reads shell output, parses escape sequences, updates shared terminal state"", ""PTY event-loop thread, UI/render thread, input/notifier threads"", ""thread updates terminal from shell output while UI/render thread reads and renders safely without starvation""";Resource arbitration model;"""Arc<FairMutex<Term<U>>> -> shared terminal"", ""PTY thread acquires fair lease, attempts try_lock_unfair, falls back to blocking lock"", ""self.terminal.lock_unfair()"", ""MAX_LOCKED_READ = for preventing PTY thread monopolising terminal lock forever""";Arc<FairMutex<T>>, Arc<T>;Fair locking prevents renderer starvation during heavy PTY throughput, but introduces additional synchronisation and coordination overhead
Synchronisation primitive;alacritty/alacritty:alacritty_terminal/src/sync.rs;Coordination-heavy;"""The entire file is about controlling shared-memory access fairness, prevent starvation""";Resource arbitration model;"""pub struct FairMutex<T> with data: Mutex<T>, next: Mutex<()> -> data protectrs the real shared memory"", ""before it goes to the data, every thread must first aquire the next"", ""Split between reservation (next) and ownership of data""";parking_lot::Mutex<T>;Provides strong fairness guarantees and starvation prevention, but every lock acquisition requires layered coordination through an additional mutex
OS integration bridge;alacritty/alacritty:alacritty_terminal/src/tty/windows/child.rs;Coordination-heavy;"""WinAPI must safely communicate process exit back to event loop threads""";Actor / message-passing model;"""Callback thread atomically reads process handle, sends exit event through channel"", ""Windows wait-thread callback + application event loop/poller thread"", ""AtomicPtr<c_void> used to share child process handle safely across threads/callback boundary""";Arc<T>, Arc<Mutex<Option<T>>>, AtomicPtr<T>;Avoids blocking inside WinAPI callbacks through atomics while limiting mutex use to mutable registration state
Caching layer;dani-garcia/vaultwarden:src/api/icons.rs;I/O-bound;“Async favicon fetching, parsing, caching, sanitisation, and delivery service”, “Global HTTP client, cookie store, compiled regex, pooled sockets/TLS sessions”, “Tokio async runtime with many concurrent request tasks sharing state”, “static CLIENT: LazyLock<Client>”, “use arc to clone references to the cookie store across threads”;Async executor–driven coordination;"""Tokio async runtime with many concurrent request tasks sharing state"", ""Async favicon fetching, parsing, caching, sanitisation, and delivery service"", ""Mostly read-heavy shared access"", ""Arc::clone(&cookie_store)"", ""RwLock<CookieStore>""";LazyLock, Arc, RwLock;Connection reuse and immutable globals minimise allocation and setup cost, but shared mutable cookie state still requires locking on writes
Shared configuration;dani-garcia/vaultwarden:src/config.rs;Coordination-heavy;"""Centralise the system configuration, avoid recomputation, share IO clients, allow reconfiguration at runtime"", ""Config: LazyLock<Config> -> singleton, and then shared everywhere. inner: RwLock<Inner> -> high read, rare writes (for startup / reload)."", “update_config, delete_user_config, set_rocket_shutdown_handle: write heavy, takes write lock and reassignes whole inner.”, “pub static SKIP_CONFIG_VALIDATION: AtomicBool -> behavior switch, runtime control -> lock-free shared memory coordination.”, ";Shared-state concurrency model;"""RwLock<T>"", ""configuration state (env, usr, overrides, config)"", ""inner: RwLock<Inner> -> high read, rare writes (for startup / reload)"", ""takes write lock and reassignes whole inner"", ""AtomicBool -> behavior switch, runtime control -> lock-free shared memory coordination""";AtomicBool, RwLock<T>, LazyLock<T>;Read-heavy configuration access is fast and scalable, but replacing whole snapshots makes updates coarse-grained
Database coordination;dani-garcia/vaultwarden:src/db/mod.rs;Coordination-heavy;“Shared database connection pooling and execution coordination”, “Allow many Rocket requests (async) to share mutable Diesel DB connections without blocking the Tokio executor”, “Acquire semaphore + pooled connection -> async mutex lock -> execute blocking query -> release connection + permit during Drop”, “Semaphore control + async mutual exclusion + pooled synchronisation + initialise once”;Resource arbitration model;"""Acquire semaphore + pooled connection -> async mutex lock -> execute blocking query -> release connection + permit during Drop"", ""DB pool state"", ""Allow many Rocket requests (async) to share mutable Diesel DB connections"", ""mutex serialises &mut Connection access"", ""Arc<Semaphore>""";Arc<T>, OwnedSemaphorePermit, Arc<Mutex<Option<T>>>, OnceLock<DbConnType>;Blocking Diesel work is isolated from the async runtime, but semaphore and mutex coordination can create contention under heavy DB load
Resource coordination;dani-garcia/vaultwarden:src/http_client.rs;I/O-bound;“shared HTTP/DNS infrastructure”, “HTTP client, DNS resolver, compiled regex (HTTP_REQUEST_BLOCK_REGEX), shared connection pools, resolver state”, ;Initialisation / singleton coordination model;"""LazyLock<T>, LazyLock<Arc<T>>"", ""avoid rebuilding clients/resolvers/regexes (=expensive)"", ""shared singleton to minimise cost"", ""shared http client, threads reuse it""";LazyLock<T>, LazyLock<Arc<T>>, Arc<T>, Mutex<Option<(String, Regex)>>;Shared clients and resolvers reduce expensive reconstruction overhead, but the regex cache introduces a small global contention point
Runtime coordination;dani-garcia/vaultwarden:src/main.rs;Coordination-heavy;"""Application state, thread coordination"", ""Multiple async tasks, Rocket handlers, background jobs and signal handlers must access the same state"", “Shared DB pool, websocket registries, configuration state, shutdown handles, runtime access, scheduler resources”, “Arc::clone() into async tasks and scheduler closures”, “config::SKIP_CONFIG_VALIDATION.store(true, Ordering::Relaxed)”";Async executor–driven coordination;"""Multiple async tasks, Rocket handlers, background jobs and signal handlers must access the same state"", ""Tokio cooperative async scheduling"", ""runtime.spawn(... pool.clone())"", ""Rocket worker threads, scheduler thread, spawned Tokio tasks, Unix signal listener tasks"", ""Arc, atomic synchronisation for flags""";Arc;Arc-based ownership sharing avoids excessive locking, but coordination responsibilities are distributed across runtime tasks and framework boundaries
