repo + file;role;workload;thread_model;primitives;tradeoff_notes
alacritty/alacritty:alacritty/src/logging.rs;Logging system;I/O-bound;Shared-state concurrency model;Mutex, Arc<AtomicBool>, OnceLock;Formatting happens before locks so only actual writes are serialised, reducing lock hold time while still protecting shared I/O state
alacritty/alacritty:alacritty/src/renderer/mod.rs;Rendering coordination layer;Coordination-heavy;Initialisation / singleton coordination model;AtomicBool, OnceLock<T>;Shared mutable state is minimised through one-time initialisation and immutable shared caches, avoiding runtime locking costs
alacritty/alacritty:alacritty_terminal/src/event_loop.rs;I/O coordination layer;Mixed;Resource arbitration model;Arc<FairMutex<T>>, Arc<T>;Fair locking prevents renderer starvation during heavy PTY throughput, but introduces additional synchronisation and coordination overhead
alacritty/alacritty:alacritty_terminal/src/sync.rs;Synchronisation primitive layer;Coordination-heavy;Resource arbitration model;parking_lot::Mutex<T>;Provides strong fairness guarantees and starvation prevention, but every lock acquisition requires layered coordination through an additional mutex
alacritty/alacritty:alacritty_terminal/src/tty/windows/child.rs;OS integration bridge;Coordination-heavy;Actor / message-passing model;Arc<T>, Arc<Mutex<Option<T>>>, AtomicPtr<T>;Avoids blocking inside WinAPI callbacks through atomics while limiting mutex use to mutable registration state
dani-garcia/vaultwarden:src/api/icons.rs;Caching layer;I/O-bound;Async executor–driven coordination;LazyLock, Arc, RwLock;Connection reuse and immutable globals minimise allocation and setup cost, but shared mutable cookie state still requires locking on writes
dani-garcia/vaultwarden:src/config.rs;Shared configuration system;Coordination-heavy;Shared-state concurrency model;AtomicBool, RwLock<T>, LazyLock<T>;Read-heavy configuration access is fast and scalable, but replacing whole snapshots makes updates coarse-grained
dani-garcia/vaultwarden:src/db/mod.rs;Database coordination;Coordination-heavy;Resource arbitration model;Arc<T>, OwnedSemaphorePermit, Arc<Mutex<Option<T>>>, OnceLock<DbConnType>;Blocking Diesel work is isolated from the async runtime, but semaphore and mutex coordination can create contention under heavy DB load
dani-garcia/vaultwarden:src/http_client.rs;Resource coordination layer;I/O-bound;Initialisation / singleton coordination model;LazyLock, Arc, Mutex;Shared clients and resolvers reduce expensive reconstruction overhead, but the regex cache introduces a small global contention point
dani-garcia/vaultwarden:src/main.rs;Runtime coordination layer;Coordination-heavy;Async executor–driven coordination;Arc;Arc-based ownership sharing avoids excessive locking, but coordination responsibilities are distributed across runtime tasks and framework boundaries
helix-editor/helix:helix-dap/src/transport.rs;Request coordination layer;Coordination-heavy;Actor / message-passing model;Arc, tokio::sync::Mutex;Mutex protects correlation state safely across async tasks but the shared pending-request table can become a contention hotspot under heavy debugger traffic
helix-editor/helix:helix-event/src/redraw.rs;Rendering coordination layer;Coordination-heavy;Shared-state concurrency model;parking_lot::RwLock;Guarantees redraw correctness and synchronisation ordering but rendering can stall while long-running async readers hold the lock
helix-editor/helix:helix-event/src/registry.rs;Event dispatch system;Coordination-heavy;Actor / message-passing model;RuntimeLocal<RwLock<Registry>>, RwLock;Central registry simplifies extensibility and dispatch coordination but shared handler maps require locking and manual type-erasure safety management
helix-editor/helix:helix-event/src/runtime.rs;Runtime coordination layer;Coordination-heavy;Shared-state concurrency model;parking_lot::RwLock;Runtime isolation prevents cross-runtime interference but lazy initialisation paths require additional lock coordination and indirection
helix-editor/helix:helix-term/src/application.rs;Execution loop;Coordination-heavy;Async executor–driven coordination;Arc, ArcSwap;"Avoids extensive shared-memory locking through async coordination and snapshot sharing	 but correctness depends on event ordering and message flow"
helix-editor/helix:helix-view/src/document.rs;State synchronisation layer;Mixed;Snapshot / copy-on-write model;ArcSwap, Arc, parking_lot::Mutex, Weak;Snapshot-based sharing gives scalable concurrent reads and async consistency but incremental remapping and transactional coordination logic become highly complex
rustdesk/rustdesk:src/client.rs;Session coordination;Coordination-heavy;Shared-state concurrency model;Arc,RwLock,Mutex;Centralised shared session state simplifies coordination across networking, IPC, and UI subsystems, but correctness depends on disciplined lock usage
rustdesk/rustdesk:src/client/io_loop.rs;I/O coordination layer;Mixed;Producer–consumer / pipeline coordination model;Arc,RwLock,Atomic;Separates ownership transfer from shared runtime telemetry, improving streaming throughput, but coordination between async tasks and worker threads is difficult to reason about
rustdesk/rustdesk:src/rendezvous_mediator.rs;Connection coordination layer;Coordination-heavy;Shared-state concurrency model;AtomicBool,Mutex,RwLock,Arc;Shared coordination state enables robust NAT traversal and failover correctness, but distributed lifecycle management depends heavily on correct atomic ordering and locking discipline
rustdesk/rustdesk:src/server.rs;Runtime coordination layer;Coordination-heavy;Actor / message-passing model;Arc,RwLock,Mutex,AtomicBool,Weak;Shared runtime registry centralises service lifecycle management, but global shared state increases coordination complexity across services and worker threads
topjohnwu/Magisk:native/src/core/daemon.rs;Runtime coordination layer;Coordination-heavy;Shared-state concurrency model;OnceLock, Mutex, AtomicBool, AtomicArc;Daemon acts as central authority with shared mutable runtime, separation between immutable config and synchronised mutable subsystems, state that is performance sensitive uses atomics instead of locks, module metadata uses write-once/read-many to avoid synchronisation after boot
topjohnwu/Magisk:native/src/core/logging.rs;Logging system;I/O-bound;Producer–consumer / pipeline coordination model;Mutex, AtomicI32, Arc;High-performance logging design: synchronisation protects handle ownership, not IO itself, it uses Arc to avoid serialised writes, uses POSIX PIPE_BUF guarantees instead of userspace locking, separation between daemon logging path and zygisk path
topjohnwu/Magisk:native/src/core/su/daemon.rs;Caching layer;Coordination-heavy;Shared-state concurrency model;AtomicArc, Mutex, Arc;Fast path: lock-free cache reuse, slow path: rebuild policy from DB -> atomically publish shared object. Locking around mutable authorisation state -> small contention. Arc allows request handlers to retain policy snapshots.
topjohnwu/Magisk:native/src/core/thread.rs;Resource coordination layer;Coordination-heavy;Worker-thread pool execution model;Mutex, Condvar, LazyLock;Only one shared task slot exists, so task submission is serialised, synchronisation separates task execution from lock ownership, condition variables coordinate state transitions
farion1231/cc-switch:src-tauri/src/commands/webdav_auto_sync.rs;State synchronisation layer;I/O-bound;Producer–consumer / pipeline coordination model;arc, OnceLock, AtomicUsize;Debouncing and batching reduce duplicate sync work, but suppression counters and async ordering make behaviour harder to reason about
farion1231/cc-switch:src-tauri/src/lib.rs;Runtime coordination layer;I/O-bound;Shared-state concurrency model;arc,rwlock;Centralised shared services simplify cross-component access, but global state increases coupling and requires careful async lock management
farion1231/cc-switch:src-tauri/src/proxy/circuit_breaker.rs;I/O coordination layer;Coordination-heavy;Shared-state concurrency model;arc,rwlock, AtomicU32;Atomics reduce contention for counters, while coordinated state transitions still require async locking and careful visibility guarantees
farion1231/cc-switch:src-tauri/src/proxy/response_processor.rs;Request coordination layer;Mixed;Async executor–driven coordination;arc,mutex, AtomicBool;Streaming responses remain responsive because persistence is detached into async tasks, but lifecycle coordination across streams and logging is complex
farion1231/cc-switch:src-tauri/src/proxy/server.rs;Resource coordination layer;I/O-bound;Shared-state concurrency model;arc,rwlock;Shared long-lived routing and failover state improves consistency across requests, but increases coupling between subsystems
farion1231/cc-switch:src-tauri/src/services/webdav_auto_sync.rs;Event dispatch system;Coordination-heavy;Resource arbitration model;tokio::sync::Mutex, Arc;Single async mutex guarantees consistency for sync operations, but serialises uploads/downloads and may delay concurrent requests
lapce/lapce:lapce-app/src/editor_tab.rs;Rendering coordination layer;Coordination-heavy;Shared-state concurrency model;Rc, RwSignal;Reactive snapshot updates minimise recomputation overhead for UI rendering but the design is restricted to single-threaded UI execution
lapce/lapce:lapce-app/src/plugin.rs;State synchronisation layer;I/O-bound;Producer–consumer / pipeline coordination model;RwSignal, Arc, AtomicU64;Asynchronous plugin coordination reduces blocking during installs and updates but maintaining consistent UI state requires careful lifecycle and ordering management
lapce/lapce:lapce-proxy/src/dispatch.rs;Event dispatch system;Coordination-heavy;Shared-state concurrency model;Arc, Mutex, AtomicU64;Pipeline-style batching and event routing improve responsiveness but coordinating many independent event producers increases orchestration complexity
lapce/lapce:lapce-proxy/src/plugin/lsp.rs;Connection coordination layer;I/O-bound;Actor / message-passing model;Arc, Mutex;Channel-driven coordination minimises shared mutable state but correctness depends strongly on RPC ordering and synchronisation between streams
lapce/lapce:lapce-rpc/src/core.rs;Request coordination layer;Coordination-heavy;Actor / message-passing model;Arc, Mutex, AtomicU64;Mailbox-style coordination keeps most request flow asynchronous but the shared pending-request map can still become a central synchronisation bottleneck
nushell/nushell:crates/nu-command/src/network/http/client.rs;Resource coordination layer;I/O-bound;Resource arbitration model;Arc,RwLock;Shared pooled HTTP clients reduce TCP/TLS setup overhead, but the global RwLock introduces coordination overhead during initialisation and reset paths
nushell/nushell:crates/nu-plugin-core/src/interface/stream/mod.rs;Request coordination layer;Mixed;Actor / message-passing model;Arc,Mutex,Condvar;ACK-based backpressure improves flow control and prevents overload, but lifecycle coordination between writers, readers, and manager state is complex
nushell/nushell:crates/nu-protocol/src/engine/engine_state.rs;Runtime coordination layer;Mixed;Shared-state concurrency model;Arc,Mutex,AtomicBool, AtomicU32, Arc::make_mut;Layered coordination combines shared immutable metadata with mutex-protected runtime services, but the large central runtime state increases coupling and synchronisation complexity
nushell/nushell:crates/nu-protocol/src/pipeline/handlers.rs;Event dispatch system;Coordination-heavy;Shared-state concurrency model;arc, Send/Sync;Simple shared registry design guarantees correctness during handler execution, but the mutex serialises registration and dispatch operations
nushell/nushell:crates/nu-utils/src/sync/keyed_lazy_lock.rs;Caching layer;Coordination-heavy;Initialisation / singleton coordination model;RwLock, OnceLock, LazyLock;Read-heavy cache scales efficiently through RwLock and per key OnceLock initialisation, but insertion and initialisation paths remain coordination-heavy
sharkdp/fd:src/main.rs;Runtime coordination layer;CPU-bound;Initialisation / singleton coordination model;Arc;Immutable shared configuration minimises synchronisation overhead, but this layer only bootstraps downstream threadpool coordination
sharkdp/fd:src/walk.rs;I/O coordination layer;I/O-bound;Producer–consumer / pipeline coordination model;Arc,Mutex,AtomicBool;Batching and bounded queues improve filesystem traversal throughput, but cancellation flags and batch ownership coordination add implementation complexity
sxyazi/yazi:yazi-core/src/tasks/tasks.rs;Runtime coordination layer;Coordination-heavy;Shared-state concurrency model;Arc;Uses snapshotting pattern, minimises lock duration, avoids holding locks during UI updates, relies on Arc for shared ownership instead of channels
sxyazi/yazi:yazi-dds/src/pubsub.rs;Event dispatch system;Coordination-heavy;Shared-state concurrency model;RwLock;Registry as routing table, snapshot, no long held locks, event dispatch pipelines
sxyazi/yazi:yazi-dds/src/server.rs;Connection coordination layer;I/O-bound;Actor / message-passing model;RwLock;Shared-memory: directory, message-passing:communication, use of snapshot, lock minimised /never held across async IO, broadcast via cloned channel senders
sxyazi/yazi:yazi-runner/src/loader/loader.rs;Caching layer;I/O-bound;Initialisation / singleton coordination model;RwLock;caching (Rust cache + Lua package.loaded), lazy binary compilation, optimised for many readers and rare writers
sxyazi/yazi:yazi-scheduler/src/scheduler.rs;Runtime coordination layer;Coordination-heavy;Producer–consumer / pipeline coordination model;Arc;Arc is for system level coordination, most data flow is message-passing, Arc is used for shared engines and registries, ID avoids direct shared mutable structs
sxyazi/yazi:yazi-scheduler/src/worker.rs;Resource coordination layer;Mixed;Worker-thread pool execution model;Arc,parking_lot::Mutex;Separation between execution and coordination: work is message-passed, lifecycle/cancellation/progress are shared memory, avoids holding locks across .await, subsystem sharing
firecracker-microvm/firecracker/src/firecracker/src/api_server_adapter.rs;Request coordination layer;Coordination-heavy;Actor / message-passing model;arc,mutex;API requests are isolated from the VM and sent through message passing to the VMM thread, which keeps VM state safe, but adds overhead and delays because all changes must go through a queue and event system.
firecracker-microvm/firecracker/src/firecracker/src/main.rs;Runtime coordination layer;Coordination-heavy;Actor / message-passing model;arc,mutex;The main process coordinates VM, metrics, and threads using shared state and event loops, which keeps structure clear, but increases coupling and requires synchronisation across many components
firecracker-microvm/firecracker/src/vmm/src/builder.rs;Runtime coordination layer;Coordination-heavy;Initialisation / singleton coordination model;arc,mutex;VM setup shares state across components using Arc and Mutex so everything can access the same VM, but this increases coupling between initialisation and runtime systems
firecracker-microvm/firecracker/src/vmm/src/lib.rs;Runtime coordination layer;Mixed;Actor / message-passing model;arc,mutex,barrier;Event-driven design with threads for vCPUs and devices, which improves performance by separating execution and control, but requires complex coordination using channels, barriers, and event signals
firecracker-microvm/firecracker/src/vmm/src/vstate/vcpu.rs;OS integration bridge;Mixed;Worker-thread pool execution model;arc,barrier;Each vCPU runs in its own thread and communicates through message passing, which enables parallel execution, but adds complexity for synchronisation and coordination between threads
firecracker-microvm/firecracker/src/vmm/src/vstate/vm.rs;Resource coordination layer;Mixed;Shared-state concurrency model;arc,mutex,AtomicU32;Shared VM state is accessed by many threads using locks and atomics, which keeps memory consistent, but introduces performance overhead and increases complexity
casey/just/src/analyzer.rs;Shared configuration system;CPU-bound;Initialisation / singleton coordination model;arc;Static analysis over immutable shared data makes execution simple and fast, but it assumes everything never changes during analysis
casey/just/src/dependency.rs;Shared configuration system;CPU-bound;Initialisation / singleton coordination model;arc;Very lightweight representation of dependencies keeps the system simple and fast, but only supports static traversal and formatting
casey/just/src/justfile.rs;Runtime coordination layer;Mixed;Resource arbitration model;Arc, mutex;Parallel execution of dependencies improves throughput, but requires locking to prevent duplicate execution, which adds overhead
casey/just/src/ran.rs;State synchronisation layer;Coordination-heavy;Resource arbitration model;arc,mutex;Central registry prevents the same work from running twice, which ensures correctness in parallel execution, but the global lock can become a bottleneck when many tasks are started at once
casey/just/src/signal_handler.rs;OS integration bridge;Coordination-heavy;Shared-state concurrency model;mutex;Signal handler keeps system-wide behavior consistent, but all signal updates go through a single lock, which limits parallel handling
