repo_name;role_name;files_included;evidence;;;
rustdesk/rustdesk;Session coordination layer;src/client.rs;Authentication, session state, connection lifecycle, OS input injection, and UI/network coordination. Arc<RwLock<LoginConfigHandler>> acts as the core shared session object and is accessed across UI threads, async network tasks, IPC handlers, and OS worker threads. Shared coordination is used to maintain consistent session/auth/input state across long-lived client execution contexts.;;;
rustdesk/rustdesk;Connection coordination layer;src/rendezvous_mediator.rs;Coordinates peer registration, NAT traversal, relay fallback, PK/key synchronisation, and distributed connection lifecycle management across async tasks and network handlers. Shared state is used for correctness and coordination decisions, including deduplication, latency state, identity consistency, relay routing, and restart/shutdown control across distributed network execution contexts.;;;
rustdesk/rustdesk;Runtime coordination layer;src/server.rs;Shared server runtime coordinating active remote desktop sessions, service lifecycle management, background workers, IPC services, and connection control flow. Arc<RwLock<Server>> -> runtime registry shared across Tokio tasks, OS threads, relay handlers, and service threads. Atomic flags coordinate shutdown, restart, and registration lifecycle state.;;;
rustdesk/rustdesk;I/O coordination layer;src/client/io_loop.rs;Coordinates shared networking, video streaming, clipboard synchronisation, transfer jobs, and media/control flow across async tasks, decoder/render workers, UI handlers, and platform callbacks. Shared-memory state is used to coordinate runtime observability, telemetry, frame queues, shutdown flags, permissions, and streaming control between concurrent I/O and rendering related execution contexts.;;;
dani-garcia/vaultwarden;Shared configuration system;src/config.rs;Shares configuration state: Config: LazyLock<Config> provides global singleton access. inner: RwLock<Inner> supports high-read rare-write runtime configuration. SKIP_CONFIG_VALIDATION: AtomicBool is a lock-free runtime behaviour switch. DashMap cache and LazyLock singletons share IO backends, templates, and version metadata across the async runtime. Configuration updates replace snapshots instead of mutating shared state in place.;;;
dani-garcia/vaultwarden;Resource coordination layer;src/http_client.rs;Primary responsibility is managing external resources (HTTP client, DNS resolver, regex cache), not controlling system logic or state flow: LazyLock shared reqwest client and DNS resolver avoid rebuilding expensive networking infrastructure. INSTANCE: LazyLock<Arc<CustomDnsResolver>> shares resolver state across tasks. COMPILED_REGEX: Mutex<Option<(String, Regex)>> caches compiled regexes and updates when configuration changes. Shared immutable clients and connection pools minimise runtime cost and reuse DNS/TLS state.;;;
dani-garcia/vaultwarden;Runtime coordination layer;src/main.rs;manage(pool), manage(Arc::clone(&WS_USERS)), runtime.spawn(... pool.clone()), and CONFIG.set_rocket_shutdown_handle(instance.shutdown()) -> shared application runtime coordination. Shared DB pools, websocket registries, shutdown handles, scheduler jobs, and async runtime resources are cloned into worker tasks and signal handlers through Arc ownership.;;;
dani-garcia/vaultwarden;Caching layer;src/api/icons.rs;static CLIENT: LazyLock<Client> reuses pooled HTTP/TLS state across favicon requests. Arc<Jar> shares cookie storage between async tasks. Jar(std::sync::RwLock<CookieStore>) allows concurrent reads with some writes for cookie updates. ICON_SIZE_REGEX and PRIORITY_MAP act as immutable shared caches. Shared networking state and parsing caches reduce recomputation and allocation during concurrent downloads;;;
dani-garcia/vaultwarden;Database coordination layer;src/db/mod.rs;Arc<Semaphore> limits concurrent database users across Tokio tasks. conn: Arc<Mutex<Option<PooledConnection<DbConnManager>>>> serialises mutable Diesel connection access while allowing ownership transfer into blocking workers. spawn_blocking ... separates blocking DB work from async runtime threads. ACTIVE_DB_TYPE: OnceLock<DbConnType> initialises backend metadata once and shares it globally. ;;;
topjohnwu/Magisk;Runtime coordination layer;native/src/core/daemon.rs;Global daemon singleton coordinating runtime state across worker threads(MAGISKD functions as global runtime container:), pub static MAGISKD: OnceLock<MagiskD> = OnceLock::new() shares daemon state across the whole process, shared SQLite connection, manager metadata, boot stage state, zygisk runtime state, cached SU info, and module metadata coordinated through Mutex, AtomicBool, AtomicArc and OnceLock. all worker threads share one daemon object and synchronise access to mutable subsystems. coordinates shared runtime subsystem state and lifecycle across the whole process, not just individual shared variables -> more like runtime coordination layer;;;
