repo_name;file;purpose;primitives;what_is_shared;why_shared;access_pattern;coordination_type;thread_context;pattern_observations;evidence;notes
rustdesk/rustdesk;src/client.rs;Remote desktop client: authentication, session management, OS input injection, NAT traversal, IPC coordination, connection lifecycle, and UI/network integration;Arc<RwLock<T>>, Arc<Mutex<T>>, Mutex<T>, RwLock<T>;LoginConfigHandler, Stream connection state, password/hash state, UDP port state, session state, MouseEvent/KeyEvent buffers, PointerDeviceEvent, LOGIN_ERROR_MAP (static map), IPC Data enum, clipboard/audio/video buffers (indirect via shared structs), configuration/options state;Shared because multiple execution contexts (UI thread, async network tasks, OS input threads, IPC handlers) must observe and mutate consistent session/auth/input state;Mixed: read-heavy config via RwLock, write-heavy auth/session updates via write locks, mutex-protected buffers for runtime state;Lock-based shared memory coordination, with some immutable shared registries;UI thread + Tokio async tasks + OS worker threads + IPC threads (all with same shared structures);Arc widely used for cross-context ownership sharing. RwLock indicates read-dominant coordination state with occasional mutation. Mutex used for mutable shared coordination and synchronisation between async tasks and worker threads. Dedicated clipboard worker thread coordinated through shared state. Shared state primarily supports long-lived session coordination and runtime lifecycle management. Centralised shared-state design: one config object (LoginConfigHandler) acts as the hub for authentication, connection state, and user/session metadata, additional shared registries (error maps, buffers) extend shared-memory domain beyond core session object;ENIGO: Arc<Mutex<enigo::Enigo>> -> synchronized shared access to global input controller. static ref CLIPBOARD_STATE: Arc<Mutex<ClipboardState>> -> shared lifecycle state for clipboard synchronization thread. udp_port = Arc::new(Mutex::new(0)) together with tokio::spawn and udp.lock().unwrap() -> shared mutable coordination between concurrent async tasks during UDP probing. `std::thread::spawn(move). Arc<RwLock<LoginConfigHandler>> (core session state hub). lc.read().unwrap() / lc.write().unwrap() across auth + connection. Arc<Mutex<u16>> udp_port. LOGIN_ERROR_MAP: lazy_static HashMap. shared password fields mutated across handle_hash, handle_login_from_ui. Shared MouseEvent/KeyEvent structs passed through interface;Central coordination layer connecting networking, runtime state, and session lifecycle.           Arc + Mutex for input controller ( ENIGO: Arc<Mutex<enigo::Enigo>>) -> multiple client/session handlers need to access the input subsystem = shared memory locking. static ref CLIPBOARD_STATE: Arc<Mutex<ClipboardState>> -> is clipboard synchronization thread active? = Thread coordination through shared state. udp_port = Arc::new(Mutex::new(0)) -> tokio::spawn -> port = *udp.lock().unwrap() -> shared-state async coordination, performs UDP probing -> shared state polled for result = shared mutable coordination across concurrent tasks. std::thread::spawn(move || {.. = OS thread, background worker, long lived loop -> waits for events and communicates through channels. interface.get_lch().read().unwrap() + write().unwrap() = shared config/state object, read-heavy access pattern, occasional mutation.
rustdesk/rustdesk;src/rendezvous_mediator.rs;Network coordination layer handling peer registration, NAT traversal (UDP/TCP hole punching), relay fallback, PK/key synchronisation, and connection lifecycle management across distributed nodes;AtomicBool, Mutex<T>, RwLock<T>, Arc<T>, lazy_static Mutex;"purpose+phase4_file_analysis__2[[#Kopteksten];[purpose]]+[+[@[what_is_shared]]@purpose]+C4:C7";Needed for cross-task coordination between async loops, OS threads, and network handler, ensures consistent identity state, prevents duplicate NAT/relay events, and synchronises distributed connection lifecycle decisions;Mixed: read-heavy config access (RwLock/Config), mutex state (dedup + mismatch resolution), atomic flags for global control, timestamp-based conditional updates (event throttling);Lock-based shared memory + atomic global flags + event deduplication via shared timestamps;Tokio async tasks (UDP/TCP loops, handlers), OS threads (LAN listener, platform services), event loops (select! registration loop), spawn-based request handlers (relay/punch/IPv6 tasks);Coordination hub, heavy use of shared global state for network correctness, deduplication via (SocketAddr, Instant), fallback routing via shared config, restart/shutdown coordinated via atomic flags, PK mismatch resolved via single-flight Mutex guard;SHOULD_EXIT.load(Ordering::SeqCst) loop termination, SOLVING_PK_MISMATCH.lock().await single resolver, Arc<RwLock<CONNECT_TIMEOUT>>, Config::update_latency() shared metric state, std::thread::spawn(lan::start_listening) OS thread coordination;Distributed coordination. Shared memory is used for correctness (dedup, identity consistency, failover decisions), not performance optimization.
rustdesk/rustdesk;src/server.rs;Runtime server for remote desktop sessions. Manages connections, service lifecycle (audio/video/input/clipboard);Arc<RwLock<T>>, Arc<Mutex<T>>, Weak<RwLock<T>>, AtomicBool, lazy_static Mutex, ;ServerPtr (global Server state), connections map, services registry, CHILD_PROCESS list, CLIENT_SERVER singleton, atomic flags (SHOULD_EXIT, MANUAL_RESTARTED, SENT_REGISTER_PK), ConnInner session objects;Multiple concurrent execution (tokio tasks, OS threads, IPC handlers, network listeners, relay workers) must coordinate lifecycle, service subscriptions, and runtime control flow;Read-heavy service lookup via RwLock, write-heavy connection add/remove, Mutex for global process tracking, AtomicBool for control signals in loops;lock-based shared state + pub/sub services + lock-free atomic signaling;Tokio async runtime + std::thread workers + IPC service thread + network/relay handlers + video/audio service threads;Separation: structural state (RwLock Server), runtime resources (Mutex CHILD_PROCESS), control plane (Atomics). Services are like actors subscribing to connection events. Lot of Arc cloning -> shows cross-task ownership propagation. Short-lived guards -> minimises lock contention. Atomic flags used in loops for termination/restart.;Arc<RwLock<...>> for global state. ServerPtr = Arc<RwLock<Server>> -> share active connections, service registry (audio/video/input/clipboard), connection Ids -> multiple async tasks + threads need access / connection events come from many sources (network, UI, IPC, video/audio services). Server instance shared -> lifecycle management across threads + background cleanup thread (check_zombie). Childs = Arc<Mutex<Vec<std::process::Child>>> -> OS child process shared -> multiple threads spawn / cleanup processes + zombie checker thread removes exited processes. Connection map wrapped in Arc<RwLock<Server>> -> every service needs access + connections come and go concurrently -> lock is held in add_connection, remove_connection -> lot of mutation. services map uses pub-sub shared memory. static SHOULD_EXIT: AtomicBool, static MANUAL_RESTARTED: AtomicBool, static SENT_REGISTER_PK: AtomicBool -> used for shutdown signal, restart state, registration state -> accessed by UDP loop, TCP loop, background tasks, retry logic -> lock free for coordination in loops;Shared-state registry + actor-like services + atomic control plane. I think this is a strong example
rustdesk/rustdesk;src/client/io_loop.rs;Async layer for desktop session management with networking, video streaming, clipboard synchronisation, transfer jobs, adaptive FPS control, recording, permission propagation, and UI coordination;arc,rwlock,atomic;Shared video frame queues, decoder FPS telemetry, frame counters, discard/shutdown flags, runtime config (handler.lc), recording state, clipboard ownership/session state, transfer-job state, peer capabilities, permission flags, adaptive-control counters, display worker registry;State must be observable and mutable across async network tasks, decode/render workers, UI handlers, clipboard backends, transfer subsystems, and platform callbacks without transferring ownership ;Producer/consumer for queueing, many-reader/few-writer config access, callback-based mutation, lifecycle signaling, shared access for singleton, mutable workers;Combines message passing for the transfer of ownership with shared-memory for control synchronisation, eventual consistency coordination;Tokio async network task, decode/render worker threads, render callbacks, clipboard, UI thread,  transfer,  peer protocol handlers, platform integration callbacks;It separates transport ownership from runtime observability. Channels are used for media/event ownership and shared memory for state and telemetry. Shared runtime config (handler.lc) -> session registry  and decode_fps, frame_count, discard_queue are isolated into shared primitives. Arc cloning into callbacks and worker threads enable worker lifetimes. Coordination is eventually consistent. Clipboard: shared service. ;data_count: Arc<AtomicUsize> -> multiple async threads may update bandwidth stats concurrently -> avoid data races. Shared locks in VideoThread (internally use Arc<RwLock<T>>) -> coordinate video state across decoder thread, UI thread, network thread -> low write. chroma: Arc<RwLock<Option<Chroma>>> -> video decoder updates chroma mode and UI thread reads it, mostly reads. CLIENT_SERVER.write().unwrap() -> shared server protected by rwlock -> audio service pushes audio frames and background thread forwards frames to voice call. Arc<RwLock<Server>> -> Shared across audio services, clipboard services, connections, background workers. Access in main event loop not shared. Arc<RwLock<ArrayQueue<VideoFrame>>> ->queue itself is lock free, outer lock serialises queue access data. decode_fps: Arc<RwLock<Option<usize>>> -> makes use of eventually consistent shared state, worker and controller. frame_count: Arc<RwLock<usize>> -> shared counter. discard_queue: Arc<RwLock<bool>> -> shutdown flag -> shared lifecycle coordination;uses shared-memory state (Arc/RwLock) for telemetry, permissions, and runtime control
dani-garcia/vaultwarden;src/config.rs;Runtime configuration, cached services, IO backend access;atomic, RwLock<T>, LazyLock<T>;configuration state (env, usr, overrides, config), shutdown handle, templates cache, storage operators cache, version constants, feature flags, SMTP/SSO/Push config fields;Centralise the system configuration, avoid recomputation,  share IO clients, allow reconfiguration at runtime;read-heavy, some write, concurrent shard cache access (DashMap), LazyLock one time access, async IO ;snapshot replacement, sharded map for cache, lazy init, async IO ;multi-threaded server runtime + async tasks;snapshot config + concurrent cache + lazy constants, config lock, cache -> shared memory layer;Config: LazyLock<Config>  -> singleton, and then shared everywhere. inner: RwLock<Inner> -> high read, rare writes (for startup / reload). pub static SKIP_CONFIG_VALIDATION: AtomicBool -> behavior switch, runtime control -> lock-free shared memory coordination. update_config, delete_user_config, set_rocket_shutdown_handle: write heavy, takes write lock and reassignes whole inner.  LazyLock<dashmap::DashMap<String, opendal::Operator>> -> concurrent map with lazylock. clone: cache stores shared handles. static WEB_VAULT_VERSION: LazyLock<semver::Version>, static VW_VERSION: LazyLock<semver::Version> = singletons shared with shared memory;concurrency is not strongly coordinated across processes, system relies on immutability-by-replacement 
dani-garcia/vaultwarden;src/http_client.rs;shared HTTP/DNS infrastructure with SSRF filtering and regex cache reuse;LazyLock<T>, LazyLock<Arc<T>>, Arc<T>, Mutex<Option<(String, Regex)>>;HTTP client, DNS resolver, compiled regex (HTTP_REQUEST_BLOCK_REGEX), shared connection pools, resolver state;avoid rebuilding clients/resolvers/regexes (=expensive), reuse connection pools and DNS state across async tasks;read heavy singleton access, some mutex protected regex, mostly immutable shared state after initialisation, Arc cloning;singleton + shared immutable service objects + mutex mutable cache;async multi-threaded Tokio runtime;shared singleton to minimise cost, resolver/client  immutable after lazy init;"LazyLock::new(|| get_reqwest_client_builder().build().expect(""Failed to build client"")) -> shared http client, threads reuse it, static INSTANCE: LazyLock<Arc<CustomDnsResolver>> =    LazyLock::new(CustomDnsResolver::new) -> shared DNS resolver, uses are, because many threads need to use the resolver -> resolver is also in arc (Hickory(Arc<TokioResolver>),) -> resolvers maintain internal state, so sharing state avoids rebuilding it. static COMPILED_REGEX: Mutex<Option<(String, Regex)>> = Mutex::new(None) -> only mutable thing in this file, recomputing regexes is expensive, needs to aquire lock, then stures string and regex, if value == &block_regex -> checks config changes, if it changed to will discard the previous regex";
dani-garcia/vaultwarden;src/main.rs;Application state, thread coordination;Arc;Shared DB pool, websocket registries, configuration state, shutdown handles, runtime access, scheduler resources;Multiple async tasks, Rocket handlers, background jobs and signal handlers must access the same state;read-heavy, ownership transferred via Arc::clone() into async tasks and scheduler closures;Arc, atomic synchronisation for flags, Tokio cooperative async scheduling, Rocket dependency injection;Async runtime, Rocket worker threads, scheduler thread, spawned Tokio tasks, Unix signal listener tasks;Singleton: immutable config shared globally, mutable runtime state wrapped in Arc, background scheduler clones shared pool into async jobs;manage(pool), manage(Arc::clone(&WS_USERS)), CONFIG.set_rocket_shutdown_handle(instance.shutdown()), thread::Builder::new().spawn(...), runtime.spawn(... pool.clone()), config::SKIP_CONFIG_VALIDATION.store(true, Ordering::Relaxed);No mutexes here because synchronisation is handled through Rocket, rest is defined elsewhere
dani-garcia/vaultwarden;src/api/icons.rs;Async favicon fetching, parsing, caching, sanitisation, and delivery service;LazyLock, Arc, RwLock;Global HTTP client, cookie store, compiled regex, pooled sockets/TLS sessions;Reduce computation, safely reuse networking state across concurrent async tasks;Mostly read-heavy shared access, some writes to cookie jar, immutable globals after initialisation, reads for downloads/parsing;Lock-free immutable global, arc, rwlock;Tokio async runtime with many concurrent request tasks sharing state;Shared immutable state, minimises locking,custom lightweight HTML tokenizer to reduce allocation;static CLIENT: LazyLock<Client> -> shared client (same as previously). let cookie_store = Arc::new(Jar::default()) and .cookie_provider(Arc::clone(&cookie_store))-> use arc to clone references to the cookie store across threads. pub struct Jar(std::sync::RwLock<CookieStore>) -> most are reads in fn cookies(...), and some writes in fn set_cookies(...), only allowes one writer, or multiple readers, which seems appropriate for cookies. static ICON_SIZE_REGEX: LazyLock<Regex> -> same reasoning as previously. static PRIORITY_MAP: LazyLock<HashMap<...>> ->immutable shared map;connection reuse
dani-garcia/vaultwarden;src/db/mod.rs;Shared database connection pooling and execution coordination;Arc<T>, OwnedSemaphorePermit, Arc<Mutex<Option<T>>>, OnceLock<DbConnType>;DB pool state, connection capacity counters, mutable pooled Diesel connections, backend metadata;Allow many Rocket requests (async) to share mutable Diesel DB connections without blocking the Tokio executor;Acquire semaphore + pooled connection -> async mutex lock -> execute blocking query -> release connection + permit during Drop;Semaphore control + async mutual exclusion + pooled synchronisation + initialise once;Shared across Tokio async tasks, runtime worker threads, and blocking worker threads;Resource coordination layer, mutex serialises &mut Connection access, Arc enables cross-thread ownership transfer, cleanup performed on blocking threads to avoid runtime stalls;Diesel connections are blocking + mutable, Tokio tasks are async + nonblocking -> this is a synchorinisarion layer. pool: Option<Pool<DbConnManager>> -> shared by every request handler. Arc<Semaphore> -> shared across tokio tasks -> limits concurrent db users by decrementing the semaphore counter (shared).  conn: Arc<Mutex<Option<PooledConnection<DbConnManager>>>> -> arc allows transfer between treads/tasks, later it moves the ownership (spawn_blocking(mov..), mutex needed for diesel connection, prevents two async tasks mutating same DB connection concurrently, option because the connection can be moved out of the shared storage (conn.take()). ACTIVE_DB_TYPE: OnceLock<DbConnType> -> initialise db type once, and then reuse. ;
topjohnwu/Magisk;native/src/core/daemon.rs;In a long lived Unix daemon: global daemon state, cross-thread service coordination;OnceLock<T>, Mutex<T>, AtomicBool, AtomicArc<T>;Singleton shared daemon state: SQLite connection, manager metadata, boot stage state, zygisk runtime state, cached SU info, module metadata, feature flags;Multiple worker threads run concurrently -> need synchronised access to global daemon resources and cached state without copying or rebuilding context per request;Read-heavy singleton access, mutex mutation for subsystems, lock-free reads for flags, hot-path cached auth state ;One-time initialisation, mutex serialisation for mutable subsystems, lock-free atomic publication for frequently read state;Daemon thread initialises singleton, request handlers: thread pool concurrently access shared state, async style service architecture built on blocking Unix socket workers;service singleton pattern: daemon acts as central authority with shared mutable runtime, separation between immutable config and synchronised mutable subsystems, state that is performance sensitive uses atomics instead of locks, module metadata uses write-once/read-many to avoid synchronisation after boot;pub static MAGISKD: OnceLock<MagiskD> = OnceLock::new() -> daemon instance is shared accross the whole process, lock -> everyone gets immutable shared access. pub sql_connection: Mutex<Option<Sqlite3>>, pub manager_info: Mutex<ManagerInfo>, pub boot_stage_lock: Mutex<BootState>, pub module_list: OnceLock<Vec<ModuleInfo>>, pub zygisk_enabled: AtomicBool, pub zygisk: Mutex<ZygiskState>, pub cached_su_info: AtomicArc<SuInfo> -> shared state for MagiskD, many threads can mutate zygisk/manager info/sql connection/boot stage lock -> only one thread can access it at a time, pub zygisk_enabled: AtomicBool -> just a lock = frequent reads, doesn't need locking -> avoid locking overhead. pub cached_su_info: AtomicArc<SuInfo> -> shared pointer is atomically swappable, good for frequent reads, read copy update, for large datastructures. pub module_list: OnceLock<Vec<ModuleInfo>> -> no mutation after initialisation, only reads after. all worker threads share one daemon object. concurrent threadpool + global daemon -> need synchronisation;
