repo_name;entry_points;spawning_patterns;async_usage;thread_usage;candidate_files_from_entrypoint;reasoning
rustdesk/rustdesk;src/main.rs, platform-specific entrypoints;None observed;None observed;None observed;src/server.rs, src/client.rs, src/common.rs, src/server/connection.rs, src/client/io_loop.rs, src/flutter.rs.;It delegates execution into UI, server, and platform-specific subsystems. No explicit async runtime or thread spawning primitives are visible here, so I can't say much about concurrency model.
dani-garcia/vaultwarden;src/main.rs;Async task spawning + OS thread spawning;Event-loop async;Dedicated worker threads;src/main.rs, src/http_client.rs, src/api/, src/db/, src/util/, src/auth/, src/mail/;"async fn main -> event loop async, tokio::spawn -> async task spawning, thread::Builder::spawn -> dedicated worker threads, worker loop: loop { sched.tick(); runtime.block_on(..) }. Combines Tokio async request handling with a scheduler thread for periodic background jobs -> hybrid runtime coordination rather than purely async execution."
topjohnwu/Magisk;app/, native/;None observed;None observed;None observed;No Rust source files from entrypoint;No Rust entrypoint exists in this repository, the startup is handled via Android/native system layers, so no Rust concurrency analysis here
alacritty/alacritty;src/main.rs;OS thread spawning;No async runtime;main thread + 1 I/O thread;src/event/, src/display/, src/tty/, src/renderer/, src/io/;Starts a winit event loop which becomes the main runtime. An IO listener thread is spawned for IPC/socket communication. No async runtime is used. Concurrency is handled via event loop + message passing between UI thread and IO thread.
helix-editor/helix;helix-term/src/main.rs;Async task spawning;Heavy async/await usage (Tokio runtime);Tokio worker-thread pool;helix-term/src/application.rs, helix-term/src/event.rs, helix-term/src/ui/, helix-term/src/editor/, helix-core/src/, helix-view/src/;Uses a Tokio-based async runtime where lifecycle is driven by an async event loop. It constructs an application, creates an event stream, and runs app.run().await -> asynchronous event processing. Concurrency: Tokio runtime -> implicitly uses a worker-thread pool for task scheduling. No manual thread spawning -> concurrency is likely abstracted by the async runtime
farion1231/cc-switch;src-tauri/src/lib.rs;Async task spawning, event-driven callbacks, background worker loops;Heavy Tokio and Tauri async runtime;Tokio worker pool, event-driven threads;src-tauri/src/services/, src-tauri/src/proxy/, src-tauri/src/database/, src-tauri/src/tray.rs, src-tauri/src/commands/, src-tauri/src/settings.rs, src-tauri/src/lightweight.rs;no extra notes
sharkdp/fd;src/main.rs;Worker pool? (through Config), shared command state via Arc;No explicit async runtime;parallel filesystem traversal using configurable thread count;src/main.rs, src/walk.rs, src/filesystem.rs, src/filter.rs;Config carries a thread count and passes it into walk::scan. Uses Arc for shared command execution state -> worker threads?. No async runtime
nushell/nushell;src/main.rs;config setup, CLI parsing, ctrlc setup, execution mode dispatch (REPL/script/LSP/MCP), plugin loading;high;Some;command.rs, signals.rs;initialises engine state, loads configuration, routes execution into different modes (interactive shell, script runner, language server, MCP server)
lapce/lapce;lapce-app/src/main_split.rs;Background spawning through proxy callbacks and reactive event actions (create_ext_action, proxy request handlers);async/event-driven structure, proxy communication and reactive effects/signals ;Mostly single-thread (Rc, RwSignal, Memo), background worker threads elsewhere;main_split.rs, window_tab.rs, editor.rs, doc.rs, proxy.rs, keypress.rs, panel/implementation_view.rs, editor_tab.rs;This coordinates editor state, tabs, documents, navigation, and updates, UI state management and concurrent backend services
sxyazi/yazi;yazi-fm/src/main.rs;tokio::main + staged init + service startup chain;async via init() pipeline + serve() futures;layered services + background tasks;dispatcher, executor, watcher, runner, plugin, dds;Initialises multiple subsystems which likely spawn their own async tasks, 
firecracker-microvm/firecracker;src/firecracker/src/main.rs;Creates microVMs: vmm::builder::build_and_boot_microvm(). Spawns vCPU threads and API/VMM runtime components during VM startup;Uses an EventManager to drive VM devices, API events, timers,  I/O;Main thread performs initialisation, API server thread handles requests, VMM thread manages VM state, one thread per guest vCPU is created by KVM/VM startup logic;src/firecracker/src/api_server_adapter.rs, src/firecracker/src/api_server.rs, src/vmm/src/builder.rs, src/vmm/src/lib.rs, src/vmm/src/resources/, src/vmm/src/device_manager/, src/jailer/src/main.rs;main_exec() performs setup and then branches into API mode or VM startup. Then build_and_boot_microvm()
casey/just;src/main.rs;Spawns external shell processes/commands when executing recipes defined in a justfile;No async usage in entry point;No thread creation visible in entry point;src/lib.rs, src/config.rs, src/justfile.rs, parser/evaluator modules, recipe execution modules, shell/command execution modules;Completion setup, CLI initialisation, delegates application logic to just::run()
surrealdb/surrealdb;;;;;;
qdrant/qdrant;;;;;;
jdx/mise;;;;;;
rustfs/rustfs;;;;;;
cloudflare/pingora;;;;;;
neondatabase/neon;;;;;;
tursodatabase/turso;;;;;;
ast-grep/ast-grep;;;;;;
